SALE TYPE,SOLD DATE,Days_Since_Sold,Month_Sold,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,AGE,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,FAVORITE,LATITUDE,LONGITUDE,STORAGE_STRUCTURE,Garage_Spaces,Basement_Level,Recently_Renovated
PAST SALE,2023-09-28,636,9,Single Family Residential,575 Madison St,Afton,WY,83110,369000,3,2.0,Afton,1612,13503,1956,69,,229,,Sold,https://www.redfin.com/WY/Afton/575-Madison-St-83110/home/135359089,TBOR,23-595,N,42.7217012,-110.9248409,1,2,0,0
PAST SALE,2024-02-13,498,2,Single Family Residential,290 Cedar Dr,Star Valley Ranch,WY,83127,945000,5,3.0,Star Valley Ranch,3726,39639,2007,18,,254,371.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/290-Cedar-Dr-83127/home/187933883,TBOR,24-193,N,42.9927025,-110.9611632,1,2,3,0
PAST SALE,2024-03-06,476,3,Single Family Residential,469 Mahogany Way,Star Valley Ranch,WY,83127,499000,3,2.0,Star Valley Ranch,2256,21780,2003,22,,221,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/469-Mahogany-Way-83127/home/135383977,TBOR,22-3070,N,43.0032888,-110.980187,0,2,2,1
PAST SALE,2023-09-01,663,9,Single Family Residential,154 Custer Dr,Star Valley Ranch,WY,83127,645000,4,3.0,Star Valley Ranch,3876,22215,2008,17,,166,346.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/154-Custer-Dr-83127/home/187936675,TBOR,23-1212,N,42.9548599,-110.956242,0,2,3,0
PAST SALE,2023-07-25,701,7,Single Family Residential,350 Cedar Creek Dr,Star Valley Ranch,WY,83127,749000,4,3.0,Star Valley Ranch,3444,43124,2006,19,,217,371.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/350-Cedar-Creek-Dr-83127/home/135375596,TBOR,23-784,N,42.9739606,-110.9649095,0,3,3,0
PAST SALE,2023-09-22,642,9,Single Family Residential,256 Solitude Dr,Star Valley Ranch,WY,83127,389000,3,2.0,Star Valley Ranch,1439,23522,1985,40,,270,467.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/256-Solitude-Dr-83127/home/135379682,TBOR,23-1136,N,42.9751201,-110.9609129,0,2,0,0
PAST SALE,2023-08-04,691,8,Single Family Residential,40 Porto Rd,Star Valley Ranch,WY,83127,695000,3,2.5,Star Valley Ranch,2137,22651,1996,29,,325,342.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/40-Porto-Rd-83127/home/187936887,TBOR,23-31,N,42.9643705,-110.9475667,1,2,0,1
PAST SALE,2023-08-21,674,8,Single Family Residential,267 Young Ln,Afton,WY,83110,899000,6,3.5,Rockbridge Meadows,4156,20473,2017,8,,216,100.0,Sold,https://www.redfin.com/WY/Afton/267-Young-Ln-83110/home/147180800,TBOR,23-549,N,42.73752,-110.920243,1,3,3,0
PAST SALE,2023-09-05,659,9,Single Family Residential,232 Columbine St,Alpine,WY,83128,799000,3,2.0,Alpine Meadows,2040,16552,2022,3,,392,325.0,Sold,https://www.redfin.com/WY/Alpine/232-Columbine-St-83128/home/165572573,TBOR,23-343,N,43.174808,-111.025526,0,2,0,0
PAST SALE,2023-07-12,714,7,Single Family Residential,72 W 4th Ave,Afton,WY,83110,380000,4,3.0,Afton,2565,7405,1949,76,,148,,Sold,https://www.redfin.com/WY/Afton/72-W-4th-Ave-83110/home/135379370,TBOR,23-705,N,42.7251637,-110.9356449,1,1,3,1
PAST SALE,2023-09-05,659,9,Single Family Residential,2163 Hwy 241,Afton,WY,83110,649000,3,2.0,Afton,2716,152460,1984,41,,239,,Sold,https://www.redfin.com/WY/Afton/2163-State-Highway-241-83110/home/135416156,TBOR,22-2798,N,42.6624529,-110.9337869,1,2,1,0
PAST SALE,2023-07-06,720,7,Single Family Residential,240 River Bench Rd,Alpine,WY,83128,575000,2,2.5,Palispark,1530,13068,1993,32,,376,,Sold,https://www.redfin.com/WY/Alpine/240-River-Bench-Rd-83128/home/135376970,TBOR,23-1491,N,43.1637327,-111.011944,1,2,1,0
PAST SALE,2023-07-10,716,7,Single Family Residential,737 Pine Cir,Alpine,WY,83128,725000,3,2.0,Lakeview Estates,1792,14810,1990,35,,405,,Sold,https://www.redfin.com/WY/Alpine/737-Pinecrest-County-Rd-83128/home/135389753,TBOR,23-899,N,43.1584936,-111.0132195,1,1,0,1
PAST SALE,2023-08-09,686,8,Single Family Residential,64 Buckrail Ln,Alpine,WY,83128,695000,3,2.0,Lazy B,1392,47916,1999,26,,499,,Sold,https://www.redfin.com/WY/Alpine/64-Buck-Rail-Ln-83128/home/135358131,TBOR,23-826,N,43.1759387,-111.0282601,0,2,0,0
PAST SALE,2023-08-22,673,8,Single Family Residential,20 Upper Ridge Rd,Alpine,WY,83128,1799999,4,4.0,Shadow Dancer Estates,3400,67518,2014,11,,529,,Sold,https://www.redfin.com/WY/Alpine/20-Upper-Rdg-Rd-83128/home/135484767,SBORWY,23-458,N,43.117336,-111.014298,0,0,2,0
PAST SALE,2024-08-16,313,8,Single Family Residential,865 Saddle Dr,Etna,WY,83118,700000,4,2.0,Nordic Ranches,1916,70131,1995,30,,365,,Sold,https://www.redfin.com/WY/Etna/865-Saddle-Dr-83118/home/195244223,TBOR,24-1780,N,43.0818299,-110.998881,0,2,3,0
PAST SALE,2023-09-26,638,9,Single Family Residential,339 Snake Dr,Alpine,WY,83128,835000,3,2.0,Riverview Meadows,2035,16988,2006,19,,410,200.0,Sold,https://www.redfin.com/WY/Alpine/339-Snake-DR-83128/home/187936863,TBOR,23-1582,N,43.161608,-111.031033,0,2,0,1
PAST SALE,2023-12-15,558,12,Single Family Residential,43 Rusty Spgs,Thayne,WY,83127,420000,3,2.0,The Meadows,1337,13503,2024,1,,314,500.0,Sold,https://www.redfin.com/WY/Unknown/43-Rusty-Springs-Ln-83127/home/188943512,TBOR,23-2659,N,42.9183917,-110.9793512,0,0,0,0
PAST SALE,2023-09-08,656,9,Single Family Residential,618 Noble Ln,Bedford,WY,83112,1395000,3,3.5,Pine View Airpark,3035,456508,2018,7,,460,,Sold,https://www.redfin.com/WY/Bedford/618-Noble-Ln-83112/home/165558248,TBOR,23-433,N,42.8660625,-110.8971858,0,2,2,0
PAST SALE,2023-10-06,628,10,Single Family Residential,38 Holly Dr,Star Valley Ranch,WY,83127,438000,3,2.0,Star Valley Ranch,1516,13068,2002,23,,289,581.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/38-Holly-Dr-83127/home/135383712,TBOR,23-2057,N,42.964058,-110.9840728,0,2,0,0
PAST SALE,2023-10-10,624,10,Single Family Residential,186 E 2nd Ave,Afton,WY,83110,375000,4,2.0,Afton,2579,8712,1964,61,,145,,Sold,https://www.redfin.com/WY/Afton/186-E-2nd-Ave-83110/home/135419693,TBOR,23-1592,N,42.7291397,-110.928637,1,2,3,1
PAST SALE,2023-08-31,664,8,Single Family Residential,530 Adams St,Afton,WY,83110,340000,3,2.0,Afton,1964,6969,1966,59,,173,,Sold,https://www.redfin.com/WY/Afton/530-Adams-St-83110/home/135423106,TBOR,23-1377,N,42.7226904,-110.9315469,0,2,1,1
